Date,Meal,Menu,Calories,Price
2024-01-01,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-01,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-01,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-02,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-02,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-02,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-03,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-03,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-03,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-04,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-04,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-04,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-05,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-05,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-05,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-06,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-06,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-06,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-07,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-07,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-07,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-08,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-08,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-08,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-09,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-09,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-09,Dinner,"계란말이+시금치나물+쌀밥",500,5000
2024-01-10,Breakfast,"현미밥+미역국+김치",400,3000
2024-01-10,Lunch,"불고기+된장국+콩나물무침",600,7000
2024-01-10,Dinner,"계란말이+시금치나물+쌀밥",500,5000
